"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2014","44","44000","Rhode Island","1,015,656","149,825","144,246","155,404","144,246 to 155,404","14.8","14.3","15.3","14.3 to 15.3","210,531","44,563","42,149","46,977","42,149 to 46,977","21.2","20.1","22.3","20.1 to 22.3","155,963","29,926","27,885","31,967","27,885 to 31,967","19.2","17.9","20.5","17.9 to 20.5","53,759","13,747","12,527","14,967","12,527 to 14,967","25.6","23.3","27.9","23.3 to 27.9","$54,797","$53,523","$56,071","$53,523 to $56,071"
"2013","44","44000","Rhode Island","1,010,806","148,275","142,320","154,230","142,320 to 154,230","14.7","14.1","15.3","14.1 to 15.3","209,869","46,149","43,377","48,921","43,377 to 48,921","22.0","20.7","23.3","20.7 to 23.3","155,334","31,368","29,074","33,662","29,074 to 33,662","20.2","18.7","21.7","18.7 to 21.7","53,730","13,909","12,450","15,368","12,450 to 15,368","25.9","23.2","28.6","23.2 to 28.6","$55,015","$53,478","$56,552","$53,478 to $56,552"
"2012","44","44000","Rhode Island","1,010,452","143,625","138,073","149,177","138,073 to 149,177","14.2","13.7","14.7","13.7 to 14.7","213,424","44,355","41,942","46,768","41,942 to 46,768","20.8","19.7","21.9","19.7 to 21.9","157,890","29,653","27,475","31,831","27,475 to 31,831","18.8","17.4","20.2","17.4 to 20.2","54,293","13,739","12,683","14,795","12,683 to 14,795","25.3","23.4","27.2","23.4 to 27.2","$54,002","$52,598","$55,406","$52,598 to $55,406"
"2011","44","44000","Rhode Island","1,009,929","148,079","142,716","153,442","142,716 to 153,442","14.7","14.2","15.2","14.2 to 15.2","216,523","46,569","44,086","49,052","44,086 to 49,052","21.5","20.4","22.6","20.4 to 22.6","160,669","30,944","28,855","33,033","28,855 to 33,033","19.3","18.0","20.6","18.0 to 20.6","55,072","14,819","13,376","16,262","13,376 to 16,262","26.9","24.3","29.5","24.3 to 29.5","$53,152","$51,803","$54,501","$51,803 to $54,501"
"2010","44","44000","Rhode Island","1,012,202","143,132","137,475","148,789","137,475 to 148,789","14.1","13.5","14.7","13.5 to 14.7","221,322","44,041","41,340","46,742","41,340 to 46,742","19.9","18.7","21.1","18.7 to 21.1","163,975","29,074","26,666","31,482","26,666 to 31,482","17.7","16.2","19.2","16.2 to 19.2","56,283","14,107","12,882","15,332","12,882 to 15,332","25.1","22.9","27.3","22.9 to 27.3","$52,053","$51,032","$53,074","$51,032 to $53,074"
"2009","44","44000","Rhode Island","1,015,672","122,379","116,902","127,856","116,902 to 127,856","12.0","11.5","12.6","11.5 to 12.6","223,355","39,988","37,500","42,476","37,500 to 42,476","17.9","16.8","19.0","16.8 to 19.0","162,933","27,268","25,171","29,365","25,171 to 29,365","16.7","15.4","18.0","15.4 to 18.0","58,946","11,730","10,410","13,049","10,410 to 13,049","19.9","17.7","22.1","17.7 to 22.1","$53,243","$52,028","$54,458","$52,028 to $54,458"
"2008","44","44000","Rhode Island","1,012,987","122,173","116,966","127,379","116,966 to 127,379","12.1","11.5","12.6","11.5 to 12.6","224,979","37,117","34,862","39,372","34,862 to 39,372","16.5","15.5","17.5","15.5 to 17.5","164,860","24,456","22,426","26,486","22,426 to 26,486","14.8","13.6","16.1","13.6 to 16.1","59,411","11,842","10,793","12,892","10,793 to 12,892","19.9","18.2","21.7","18.2 to 21.7","$54,562","$53,031","$56,093","$53,031 to $56,093"
"2007","44","44000","Rhode Island","1,018,742","121,172","116,308","126,036","116,308 to 126,036","11.9","11.4","12.4","11.4 to 12.4","229,867","38,799","36,367","41,231","36,367 to 41,231","16.9","15.8","17.9","15.8 to 17.9","168,787","25,763","23,501","28,025","23,501 to 28,025","15.3","13.9","16.6","13.9 to 16.6","60,560","12,230","11,260","13,199","11,260 to 13,199","20.2","18.6","21.8","18.6 to 21.8","$52,755","$51,632","$53,878","$51,632 to $53,878"
"2006","44","44000","Rhode Island","1,026,112","117,585","113,110","122,061","113,110 to 122,061","11.5","11.0","11.9","11.0 to 11.9","235,012","37,496","35,385","39,607","35,385 to 39,607","16.0","15.1","16.9","15.1 to 16.9","172,618","25,653","23,712","27,594","23,712 to 27,594","14.9","13.7","16.0","13.7 to 16.0","61,582","11,080","10,155","12,006","10,155 to 12,006","18.0","16.5","19.5","16.5 to 19.5","$51,324","$50,361","$52,287","$50,361 to $52,287"
"2015","45","45000","South Carolina","4,750,107","796,609","779,482","813,736","779,482 to 813,736","16.8","16.4","17.2","16.4 to 17.2","1,069,113","260,646","252,384","268,908","252,384 to 268,908","24.4","23.6","25.2","23.6 to 25.2","783,724","184,214","176,953","191,475","176,953 to 191,475","23.5","22.6","24.4","22.6 to 24.4","281,810","73,420","69,621","77,219","69,621 to 77,219","26.1","24.8","27.4","24.8 to 27.4","$47,308","$46,768","$47,848","$46,768 to $47,848"
"2014","45","45000","South Carolina","4,691,566","838,065","822,623","853,507","822,623 to 853,507","17.9","17.6","18.2","17.6 to 18.2","1,067,825","281,738","272,769","290,707","272,769 to 290,707","26.4","25.6","27.2","25.6 to 27.2","778,427","195,415","187,815","203,015","187,815 to 203,015","25.1","24.1","26.1","24.1 to 26.1","284,360","81,681","77,091","86,271","77,091 to 86,271","28.7","27.1","30.3","27.1 to 30.3","$45,337","$44,839","$45,835","$44,839 to $45,835"
"2013","45","45000","South Carolina","4,631,792","858,553","842,448","874,658","842,448 to 874,658","18.5","18.2","18.8","18.2 to 18.8","1,063,159","290,346","281,069","299,623","281,069 to 299,623","27.3","26.4","28.2","26.4 to 28.2","772,521","194,639","186,768","202,510","186,768 to 202,510","25.2","24.2","26.2","24.2 to 26.2","287,302","92,264","87,512","97,016","87,512 to 97,016","32.1","30.4","33.8","30.4 to 33.8","$44,310","$43,669","$44,951","$43,669 to $44,951"
"2012","45","45000","South Carolina","4,585,462","837,327","821,424","853,230","821,424 to 853,230","18.3","18.0","18.6","18.0 to 18.6","1,067,825","285,674","276,979","294,369","276,979 to 294,369","26.8","26.0","27.6","26.0 to 27.6","771,371","192,338","184,903","199,773","184,903 to 199,773","24.9","23.9","25.9","23.9 to 25.9","292,659","89,756","85,422","94,090","85,422 to 94,090","30.7","29.2","32.2","29.2 to 32.2","$43,290","$42,653","$43,927","$42,653 to $43,927"
"2011","45","45000","South Carolina","4,538,319","852,999","836,781","869,217","836,781 to 869,217","18.8","18.4","19.2","18.4 to 19.2","1,065,797","292,835","283,723","301,947","283,723 to 301,947","27.5","26.6","28.4","26.6 to 28.4","764,640","194,488","186,688","202,288","186,688 to 202,288","25.4","24.4","26.4","24.4 to 26.4","297,865","94,809","89,932","99,686","89,932 to 99,686","31.8","30.2","33.4","30.2 to 33.4","$42,477","$41,933","$43,021","$41,933 to $43,021"
"2010","45","45000","South Carolina","4,493,882","813,939","798,358","829,520","798,358 to 829,520","18.1","17.8","18.4","17.8 to 18.4","1,063,825","276,637","266,962","286,312","266,962 to 286,312","26.0","25.1","26.9","25.1 to 26.9","762,924","180,286","171,758","188,814","171,758 to 188,814","23.6","22.5","24.7","22.5 to 24.7","297,090","92,708","88,252","97,164","88,252 to 97,164","31.2","29.7","32.7","29.7 to 32.7","$42,117","$41,702","$42,532","$41,702 to $42,532"
"2009","45","45000","South Carolina","4,416,869","753,286","738,174","768,399","738,174 to 768,399","17.1","16.7","17.4","16.7 to 17.4","1,061,223","258,848","250,548","267,147","250,548 to 267,147","24.4","23.6","25.2","23.6 to 25.2","753,053","166,587","159,636","173,538","159,636 to 173,538","22.1","21.2","23.0","21.2 to 23.0","304,030","88,324","83,990","92,658","83,990 to 92,658","29.1","27.6","30.5","27.6 to 30.5","$42,580","$42,034","$43,126","$42,034 to $43,126"
"2008","45","45000","South Carolina","4,339,428","680,134","665,139","695,128","665,139 to 695,128","15.7","15.3","16.0","15.3 to 16.0","1,050,902","228,277","220,638","235,916","220,638 to 235,916","21.7","21.0","22.4","21.0 to 22.4","749,359","147,183","140,364","154,002","140,364 to 154,002","19.6","18.7","20.6","18.7 to 20.6","297,740","77,739","74,020","81,458","74,020 to 81,458","26.1","24.9","27.4","24.9 to 27.4","$44,695","$44,077","$45,313","$44,077 to $45,313"
"2007","45","45000","South Carolina","4,270,132","646,061","632,094","660,028","632,094 to 660,028","15.1","14.8","15.5","14.8 to 15.5","1,045,485","220,854","213,698","228,011","213,698 to 228,011","21.1","20.4","21.8","20.4 to 21.8","746,791","142,963","136,735","149,191","136,735 to 149,191","19.1","18.3","20.0","18.3 to 20.0","293,176","73,261","69,667","76,855","69,667 to 76,855","25.0","23.8","26.2","23.8 to 26.2","$43,508","$42,901","$44,114","$42,901 to $44,114"
"2006","45","45000","South Carolina","4,182,861","657,405","644,326","670,485","644,326 to 670,485","15.7","15.4","16.0","15.4 to 16.0","1,023,412","226,703","220,008","233,397","220,008 to 233,397","22.2","21.5","22.8","21.5 to 22.8","738,160","150,695","144,741","156,649","144,741 to 156,649","20.4","19.6","21.2","19.6 to 21.2","278,578","70,351","67,329","73,373","67,329 to 73,373","25.3","24.2","26.3","24.2 to 26.3","$41,204","$40,784","$41,624","$40,784 to $41,624"
"2015","46","46000","South Dakota","829,616","111,697","106,789","116,605","106,789 to 116,605","13.5","12.9","14.1","12.9 to 14.1","206,899","36,584","34,389","38,779","34,389 to 38,779","17.7","16.6","18.8","16.6 to 18.8","145,769","23,262","21,422","25,102","21,422 to 25,102","16.0","14.7","17.3","14.7 to 17.3","59,806","12,239","11,145","13,333","11,145 to 13,333","20.5","18.7","22.3","18.7 to 22.3","$53,263","$52,229","$54,297","$52,229 to $54,297"
"2014","46","46000","South Dakota","824,377","115,906","111,520","120,292","111,520 to 120,292","14.1","13.6","14.6","13.6 to 14.6","206,028","37,836","35,834","39,838","35,834 to 39,838","18.4","17.4","19.4","17.4 to 19.4","145,554","23,496","21,935","25,057","21,935 to 25,057","16.1","15.0","17.2","15.0 to 17.2","59,279","13,429","12,229","14,629","12,229 to 14,629","22.7","20.7","24.7","20.7 to 24.7","$51,059","$50,111","$52,007","$50,111 to $52,007"
"2013","46","46000","South Dakota","815,064","114,291","109,648","118,934","109,648 to 118,934","14.0","13.4","14.6","13.4 to 14.6","202,610","37,646","35,268","40,024","35,268 to 40,024","18.6","17.4","19.8","17.4 to 19.8","142,923","24,675","22,681","26,669","22,681 to 26,669","17.3","15.9","18.7","15.9 to 18.7","58,725","12,055","10,850","13,260","10,850 to 13,260","20.5","18.4","22.6","18.4 to 22.6","$49,200","$48,195","$50,205","$48,195 to $50,205"
"2012","46","46000","South Dakota","804,310","109,661","105,709","113,613","105,709 to 113,613","13.6","13.1","14.1","13.1 to 14.1","199,531","36,950","34,954","38,946","34,954 to 38,946","18.5","17.5","19.5","17.5 to 19.5","139,626","22,460","20,783","24,137","20,783 to 24,137","16.1","14.9","17.3","14.9 to 17.3","57,915","13,339","12,265","14,413","12,265 to 14,413","23.0","21.1","24.9","21.1 to 24.9","$48,439","$47,546","$49,332","$47,546 to $49,332"
"2011","46","46000","South Dakota","794,847","112,258","108,144","116,372","108,144 to 116,372","14.1","13.6","14.6","13.6 to 14.6","198,363","38,176","35,964","40,388","35,964 to 40,388","19.2","18.1","20.3","18.1 to 20.3","139,454","23,115","21,359","24,871","21,359 to 24,871","16.6","15.3","17.9","15.3 to 17.9","58,056","14,121","12,766","15,476","12,766 to 15,476","24.3","22.0","26.6","22.0 to 26.6","$48,188","$46,895","$49,481","$46,895 to $49,481"
"2010","46","46000","South Dakota","788,210","114,798","110,248","119,348","110,248 to 119,348","14.6","14.0","15.2","14.0 to 15.2","199,290","38,736","36,262","41,210","36,262 to 41,210","19.4","18.2","20.6","18.2 to 20.6","138,846","23,779","21,637","25,921","21,637 to 25,921","17.1","15.6","18.6","15.6 to 18.6","58,774","13,793","12,604","14,982","12,604 to 14,982","23.5","21.5","25.5","21.5 to 25.5","$45,861","$44,856","$46,866","$44,856 to $46,866"
"2009","46","46000","South Dakota","782,694","110,863","106,257","115,469","106,257 to 115,469","14.2","13.6","14.8","13.6 to 14.8","194,966","36,884","34,540","39,228","34,540 to 39,228","18.9","17.7","20.1","17.7 to 20.1","136,358","22,720","20,773","24,667","20,773 to 24,667","16.7","15.2","18.1","15.2 to 18.1","57,733","13,226","11,998","14,454","11,998 to 14,454","22.9","20.8","25.0","20.8 to 25.0","$45,048","$44,019","$46,078","$44,019 to $46,078"
"2008","46","46000","South Dakota","774,726","98,248","94,246","102,250","94,246 to 102,250","12.7","12.2","13.2","12.2 to 13.2","193,992","34,192","32,034","36,349","32,034 to 36,349","17.6","16.5","18.7","16.5 to 18.7","134,695","20,967","19,136","22,798","19,136 to 22,798","15.6","14.2","16.9","14.2 to 16.9","57,527","12,155","11,098","13,212","11,098 to 13,212","21.1","19.3","23.0","19.3 to 23.0","$46,244","$45,165","$47,324","$45,165 to $47,324"
"2007","46","46000","South Dakota","768,497","101,420","97,995","104,844","97,995 to 104,844","13.2","12.8","13.6","12.8 to 13.6","193,829","33,999","32,005","35,992","32,005 to 35,992","17.5","16.5","18.6","16.5 to 18.6","137,082","20,625","18,894","22,356","18,894 to 22,356","15.0","13.8","16.3","13.8 to 16.3","55,804","12,291","11,376","13,206","11,376 to 13,206","22.0","20.4","23.7","20.4 to 23.7","$43,507","$42,662","$44,353","$42,662 to $44,353"
"2006","46","46000","South Dakota","753,216","102,589","99,011","106,166","99,011 to 106,166","13.6","13.1","14.1","13.1 to 14.1","189,932","33,697","31,824","35,571","31,824 to 35,571","17.7","16.8","18.7","16.8 to 18.7","134,150","20,711","19,065","22,357","19,065 to 22,357","15.4","14.2","16.7","14.2 to 16.7","53,850","11,688","10,746","12,630","10,746 to 12,630","21.7","20.0","23.5","20.0 to 23.5","$42,432","$41,574","$43,291","$41,574 to $43,291"
"2015","47","47000","Tennessee","6,440,331","1,077,866","1,057,666","1,098,066","1,057,666 to 1,098,066","16.7","16.4","17.0","16.4 to 17.0","1,473,512","355,680","345,281","366,079","345,281 to 366,079","24.1","23.4","24.8","23.4 to 24.8","1,073,094","240,366","231,264","249,468","231,264 to 249,468","22.4","21.6","23.2","21.6 to 23.2","393,267","108,782","103,671","113,893","103,671 to 113,893","27.7","26.4","29.0","26.4 to 29.0","$47,243","$46,760","$47,726","$46,760 to $47,726"
"2014","47","47000","Tennessee","6,386,629","1,165,245","1,145,236","1,185,254","1,145,236 to 1,185,254","18.2","17.9","18.5","17.9 to 18.5","1,468,785","380,159","369,180","391,138","369,180 to 391,138","25.9","25.2","26.6","25.2 to 26.6","1,072,471","260,262","250,713","269,811","250,713 to 269,811","24.3","23.4","25.2","23.4 to 25.2","390,151","113,943","108,558","119,328","108,558 to 119,328","29.2","27.8","30.6","27.8 to 30.6","$44,357","$43,810","$44,904","$43,810 to $44,904"
"2013","47","47000","Tennessee","6,335,301","1,128,618","1,109,156","1,148,080","1,109,156 to 1,148,080","17.8","17.5","18.1","17.5 to 18.1","1,467,283","388,141","378,561","397,721","378,561 to 397,721","26.5","25.8","27.2","25.8 to 27.2","1,070,739","260,103","251,997","268,209","251,997 to 268,209","24.3","23.5","25.1","23.5 to 25.1","390,531","122,058","116,953","127,163","116,953 to 127,163","31.3","30.0","32.6","30.0 to 32.6","$44,268","$43,776","$44,760","$43,776 to $44,760"
"2012","47","47000","Tennessee","6,295,985","1,135,205","1,116,022","1,154,388","1,116,022 to 1,154,388","18.0","17.7","18.3","17.7 to 18.3","1,469,173","383,402","372,304","394,500","372,304 to 394,500","26.1","25.3","26.9","25.3 to 26.9","1,065,826","260,624","250,675","270,573","250,675 to 270,573","24.5","23.6","25.4","23.6 to 25.4","396,145","116,348","111,673","121,023","111,673 to 121,023","29.4","28.2","30.6","28.2 to 30.6","$42,743","$42,182","$43,304","$42,182 to $43,304"
"2011","47","47000","Tennessee","6,246,368","1,148,161","1,127,811","1,168,511","1,127,811 to 1,168,511","18.4","18.1","18.7","18.1 to 18.7","1,470,670","389,808","378,886","400,730","378,886 to 400,730","26.5","25.8","27.2","25.8 to 27.2","1,066,168","260,224","250,873","269,575","250,873 to 269,575","24.4","23.5","25.3","23.5 to 25.3","398,248","123,425","117,441","129,409","117,441 to 129,409","31.0","29.5","32.5","29.5 to 32.5","$41,691","$41,276","$42,106","$41,276 to $42,106"
"2010","47","47000","Tennessee","6,195,138","1,102,643","1,082,798","1,122,488","1,082,798 to 1,122,488","17.8","17.5","18.1","17.5 to 18.1","1,468,391","380,591","368,554","392,628","368,554 to 392,628","25.9","25.1","26.7","25.1 to 26.7","1,060,973","253,241","242,837","263,645","242,837 to 263,645","23.9","22.9","24.9","22.9 to 24.9","400,113","120,569","114,736","126,402","114,736 to 126,402","30.1","28.6","31.6","28.6 to 31.6","$41,461","$41,068","$41,854","$41,068 to $41,854"
"2009","47","47000","Tennessee","6,141,371","1,055,635","1,037,359","1,073,911","1,037,359 to 1,073,911","17.2","16.9","17.5","16.9 to 17.5","1,467,732","352,943","342,178","363,709","342,178 to 363,709","24.0","23.3","24.8","23.3 to 24.8","1,042,957","223,650","214,805","232,495","214,805 to 232,495","21.4","20.6","22.3","20.6 to 22.3","417,095","122,336","116,612","128,060","116,612 to 128,060","29.3","28.0","30.7","28.0 to 30.7","$41,715","$41,286","$42,143","$41,286 to $42,143"
"2008","47","47000","Tennessee","6,057,641","939,056","920,356","957,756","920,356 to 957,756","15.5","15.2","15.8","15.2 to 15.8","1,452,685","316,163","305,712","326,614","305,712 to 326,614","21.8","21.0","22.5","21.0 to 22.5","1,037,057","201,837","192,706","210,968","192,706 to 210,968","19.5","18.6","20.3","18.6 to 20.3","409,151","108,079","103,087","113,071","103,087 to 113,071","26.4","25.2","27.6","25.2 to 27.6","$43,610","$43,190","$44,029","$43,190 to $44,029"
"2007","47","47000","Tennessee","5,996,929","945,263","926,595","963,932","926,595 to 963,932","15.8","15.5","16.1","15.5 to 16.1","1,443,176","324,562","313,938","335,185","313,938 to 335,185","22.5","21.8","23.2","21.8 to 23.2","1,034,020","206,308","196,971","215,645","196,971 to 215,645","20.0","19.0","20.9","19.0 to 20.9","399,618","109,594","104,496","114,693","104,496 to 114,693","27.4","26.1","28.7","26.1 to 28.7","$42,389","$42,049","$42,728","$42,049 to $42,728"
"2006","47","47000","Tennessee","5,877,769","947,105","930,055","964,154","930,055 to 964,154","16.1","15.8","16.4","15.8 to 16.4","1,413,514","319,893","310,580","329,206","310,580 to 329,206","22.6","22.0","23.3","22.0 to 23.3","1,014,676","207,744","199,432","216,056","199,432 to 216,056","20.5","19.7","21.3","19.7 to 21.3","389,797","103,839","99,170","108,508","99,170 to 108,508","26.6","25.4","27.8","25.4 to 27.8","$40,368","$39,955","$40,781","$39,955 to $40,781"
"2015","48","48000","Texas","26,846,185","4,255,690","4,207,517","4,303,863","4,207,517 to 4,303,863","15.9","15.7","16.1","15.7 to 16.1","7,123,991","1,634,149","1,603,378","1,664,920","1,603,378 to 1,664,920","22.9","22.5","23.3","22.5 to 23.3","5,149,231","1,125,692","1,099,292","1,152,092","1,099,292 to 1,152,092","21.9","21.4","22.4","21.4 to 22.4","1,949,587","484,428","469,430","499,426","469,430 to 499,426","24.8","24.0","25.6","24.0 to 25.6","$55,668","$55,355","$55,981","$55,355 to $55,981"
"2014","48","48000","Texas","26,340,274","4,519,548","4,474,578","4,564,518","4,474,578 to 4,564,518","17.2","17.0","17.4","17.0 to 17.4","7,030,708","1,721,843","1,695,196","1,748,490","1,695,196 to 1,748,490","24.5","24.1","24.9","24.1 to 24.9","5,076,034","1,185,167","1,162,199","1,208,135","1,162,199 to 1,208,135","23.3","22.8","23.8","22.8 to 23.8","1,925,555","510,649","498,392","522,906","498,392 to 522,906","26.5","25.9","27.1","25.9 to 27.1","$53,067","$52,694","$53,440","$52,694 to $53,440"
"2013","48","48000","Texas","25,834,186","4,531,427","4,484,570","4,578,284","4,484,570 to 4,578,284","17.5","17.3","17.7","17.3 to 17.7","6,953,957","1,739,298","1,710,075","1,768,521","1,710,075 to 1,768,521","25.0","24.6","25.4","24.6 to 25.4","5,028,314","1,198,322","1,173,384","1,223,260","1,173,384 to 1,223,260","23.8","23.3","24.3","23.3 to 24.3","1,903,328","520,010","505,424","534,596","505,424 to 534,596","27.3","26.5","28.1","26.5 to 28.1","$51,714","$51,476","$51,952","$51,476 to $51,952"
"2012","48","48000","Texas","25,450,524","4,565,185","4,521,449","4,608,921","4,521,449 to 4,608,921","17.9","17.7","18.1","17.7 to 18.1","6,897,874","1,777,177","1,751,910","1,802,444","1,751,910 to 1,802,444","25.8","25.4","26.2","25.4 to 26.2","4,967,315","1,207,456","1,185,993","1,228,919","1,185,993 to 1,228,919","24.3","23.9","24.7","23.9 to 24.7","1,905,360","547,212","534,327","560,097","534,327 to 560,097","28.7","28.0","29.4","28.0 to 29.4","$50,747","$50,482","$51,012","$50,482 to $51,012"
"2011","48","48000","Texas","25,071,118","4,627,604","4,580,002","4,675,206","4,580,002 to 4,675,206","18.5","18.3","18.7","18.3 to 18.7","6,872,694","1,825,007","1,795,380","1,854,634","1,795,380 to 1,854,634","26.6","26.2","27.0","26.2 to 27.0","4,923,532","1,227,301","1,201,313","1,253,289","1,201,313 to 1,253,289","24.9","24.4","25.4","24.4 to 25.4","1,927,257","577,923","563,435","592,411","563,435 to 592,411","30.0","29.2","30.8","29.2 to 30.8","$49,390","$49,004","$49,776","$49,004 to $49,776"
"2010","48","48000","Texas","24,652,964","4,411,273","4,369,830","4,452,716","4,369,830 to 4,452,716","17.9","17.7","18.1","17.7 to 18.1","6,798,102","1,746,564","1,720,072","1,773,056","1,720,072 to 1,773,056","25.7","25.3","26.1","25.3 to 26.1","4,871,794","1,177,868","1,155,791","1,199,945","1,155,791 to 1,199,945","24.2","23.7","24.7","23.7 to 24.7","1,901,966","547,186","533,154","561,218","533,154 to 561,218","28.8","28.1","29.5","28.1 to 29.5","$48,622","$48,281","$48,963","$48,281 to $48,963"
"2009","48","48000","Texas","24,176,217","4,143,077","4,100,135","4,186,019","4,100,135 to 4,186,019","17.1","17.0","17.3","17.0 to 17.3","6,801,994","1,655,085","1,628,349","1,681,820","1,628,349 to 1,681,820","24.3","23.9","24.7","23.9 to 24.7","4,739,578","1,065,227","1,043,506","1,086,948","1,043,506 to 1,086,948","22.5","22.0","22.9","22.0 to 22.9","2,037,052","567,633","552,682","582,585","552,682 to 582,585","27.9","27.1","28.6","27.1 to 28.6","$48,286","$48,044","$48,528","$48,044 to $48,528"
"2008","48","48000","Texas","23,727,841","3,755,944","3,716,952","3,794,935","3,716,952 to 3,794,935","15.8","15.7","16.0","15.7 to 16.0","6,646,896","1,492,668","1,467,202","1,518,134","1,467,202 to 1,518,134","22.5","22.1","22.8","22.1 to 22.8","4,624,102","952,483","931,480","973,486","931,480 to 973,486","20.6","20.1","21.1","20.1 to 21.1","1,996,577","517,020","502,475","531,566","502,475 to 531,566","25.9","25.2","26.6","25.2 to 26.6","$50,049","$49,829","$50,268","$49,829 to $50,268"
"2007","48","48000","Texas","23,284,184","3,787,071","3,749,400","3,824,743","3,749,400 to 3,824,743","16.3","16.1","16.4","16.1 to 16.4","6,521,066","1,508,771","1,484,382","1,533,160","1,484,382 to 1,533,160","23.1","22.8","23.5","22.8 to 23.5","4,530,271","960,471","940,430","980,512","940,430 to 980,512","21.2","20.8","21.6","20.8 to 21.6","1,958,885","520,753","506,961","534,545","506,961 to 534,545","26.6","25.9","27.3","25.9 to 27.3","$47,563","$47,259","$47,867","$47,259 to $47,867"
"2006","48","48000","Texas","22,887,432","3,862,741","3,823,788","3,901,693","3,823,788 to 3,901,693","16.9","16.7","17.0","16.7 to 17.0","6,393,163","1,520,101","1,496,594","1,543,608","1,496,594 to 1,543,608","23.8","23.4","24.1","23.4 to 24.1","4,466,463","977,059","956,844","997,274","956,844 to 997,274","21.9","21.4","22.3","21.4 to 22.3","1,894,280","513,553","501,932","525,174","501,932 to 525,174","27.1","26.5","27.7","26.5 to 27.7","$44,943","$44,660","$45,227","$44,660 to $45,227"
"2015","49","49000","Utah","2,947,857","331,233","320,622","341,844","320,622 to 341,844","11.2","10.8","11.6","10.8 to 11.6","900,888","115,511","108,996","122,026","108,996 to 122,026","12.8","12.1","13.5","12.1 to 13.5","649,304","74,776","69,122","80,430","69,122 to 80,430","11.5","10.6","12.4","10.6 to 12.4","247,513","36,805","33,548","40,062","33,548 to 40,062","14.9","13.6","16.2","13.6 to 16.2","$62,961","$61,825","$64,097","$61,825 to $64,097"
"2014","49","49000","Utah","2,897,763","341,587","330,845","352,329","330,845 to 352,329","11.8","11.4","12.2","11.4 to 12.2","893,699","120,155","113,195","127,115","113,195 to 127,115","13.4","12.6","14.2","12.6 to 14.2","642,833","81,347","75,358","87,336","75,358 to 87,336","12.7","11.8","13.6","11.8 to 13.6","247,992","35,687","32,291","39,083","32,291 to 39,083","14.4","13.0","15.8","13.0 to 15.8","$60,943","$60,307","$61,579","$60,307 to $61,579"
"2013","49","49000","Utah","2,851,584","360,119","348,648","371,590","348,648 to 371,590","12.6","12.2","13.0","12.2 to 13.0","883,310","129,261","122,394","136,128","122,394 to 136,128","14.6","13.8","15.4","13.8 to 15.4","629,971","85,745","79,800","91,690","79,800 to 91,690","13.6","12.7","14.5","12.7 to 14.5","249,971","40,153","36,844","43,462","36,844 to 43,462","16.1","14.8","17.4","14.8 to 17.4","$59,715","$58,985","$60,445","$58,985 to $60,445"
"2012","49","49000","Utah","2,806,006","364,124","352,417","375,831","352,417 to 375,831","13.0","12.6","13.4","12.6 to 13.4","873,581","135,453","128,610","142,296","128,610 to 142,296","15.5","14.7","16.3","14.7 to 16.3","615,995","88,371","82,648","94,094","82,648 to 94,094","14.3","13.4","15.2","13.4 to 15.2","254,131","43,893","40,293","47,493","40,293 to 47,493","17.3","15.9","18.7","15.9 to 18.7","$57,067","$56,367","$57,767","$56,367 to $57,767"
