"Experiment","Attribute","Beta.Coeff","P.Value","Adj.R2","DF","Geography","Data.range"
8,"MONTH.AGE.BEGIN21",0.00693446177515498,9.53454649525663e-17,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN22",0.00584938463030246,5.19528479246489e-12,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN23",0.00649074430459104,4.82796547375436e-14,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN24",0.00702125296880872,1.03875143275945e-15,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN25",0.0056785636357263,1.88494394235652e-10,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN26",0.00623847418704008,6.65161789923309e-12,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN27",0.00425085048773757,4.71638891338563e-06,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN28",0.00695170948431439,2.04696933252619e-13,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN29",0.00777207162765131,7.13301232541422e-16,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN30",0.00612425455899334,4.43799262491904e-10,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN31",0.0061956221900111,6.70495158312692e-10,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN32",0.00478871391363869,3.18580148959465e-06,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN33",0.00525779780825406,6.01638114027964e-07,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN34",0.00720679493299235,2.83060010120791e-11,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN35",0.0051078285165289,4.49840035974525e-06,0.00636297952299048,269765,"ALL","2012H1"
7,"int_rate",0.00053120804100121,1.28405276318093e-47,0.00635902776866992,269765,"ALL","2012H1"
7,"UNEMP.RT.BEGIN_DT",0.000155985058578226,0.16662525408361,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN0",-0.000235448829506427,0.741739516227025,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN1",0.000572508378114368,0.42229278527695,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN2",0.000791261581735416,0.268549625438443,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN3",0.00263679943363777,0.000233324846867616,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN4",0.00277988250974339,0.000108498263239072,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN5",0.0047828854963673,3.13883777258167e-11,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN6",0.00443154454070107,8.97466013683295e-10,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN7",0.00333877730613472,4.30321677203625e-06,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN8",0.00510814312926133,2.64677527343636e-12,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN9",0.00574848696950525,5.26219206559302e-15,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN10",0.00609435815872234,1.98042671555679e-16,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN11",0.0048843362089679,6.63012617490736e-11,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN12",0.00533439243322339,1.50577971315848e-12,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN13",0.00651200059422684,1.17697729539443e-17,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN14",0.00608105639959241,2.73165320992821e-15,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN15",0.0062353469503814,1.13540776924442e-15,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN16",0.00387962335067301,8.00860301471658e-07,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN17",0.00615095748700614,9.63921276873857e-15,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN18",0.00659434813804427,2.50130190214792e-16,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN19",0.00637099538273372,5.30268560191634e-15,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN20",0.00682406130618811,1.37387686397321e-16,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN21",0.00701342090841993,5.05714272877688e-17,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN22",0.00594464079028099,2.75890809969777e-12,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN23",0.00660209067527989,2.2893219010967e-14,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN24",0.00714872689690489,4.50614605843442e-16,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN25",0.00582156730288098,8.68565012902445e-11,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN26",0.00639670752784256,2.84792007882341e-12,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN27",0.00442336486076273,2.34561161076666e-06,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN28",0.00713795754271127,8.1319435413911e-14,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN29",0.00797219404155125,2.71516412634801e-16,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN30",0.00633698004704972,1.80126274685595e-10,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN31",0.0064209399878173,2.70195462588703e-10,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN32",0.00502572647030669,1.41649239200124e-06,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN33",0.00550750330383931,2.55534836027812e-07,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN34",0.00746774878303502,1.07844872090159e-11,0.00635902776866992,269765,"ALL","2012H1"
7,"MONTH.AGE.BEGIN35",0.00537949621840685,1.94968949975607e-06,0.00635902776866992,269765,"ALL","2012H1"
6,"int_rate",0.000699580721494184,0,0.00740397573345941,1890645,"ALL","2011-2015"
6,"fico_range_low",-1.32220915014722e-06,0.488791749616163,0.00740397573345941,1890645,"ALL","2011-2015"
6,"UNEMP.RT_ISS",-0.000684125751347787,1.73779516564027e-11,0.00740397573345941,1890645,"ALL","2011-2015"
6,"UNEMP.RT.BEGIN_DT",0.000471358981536404,7.51066916168774e-05,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN0",-0.000355375774828518,0.125010719708713,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN1",0.000338643577520249,0.139030160210102,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN2",0.000849072493725298,0.000188682108733876,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN3",0.00190428323021568,3.68306627679721e-17,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN4",0.00247772874621197,3.8594062555585e-28,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN5",0.00326699325737213,9.07646222516045e-48,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN6",0.00363645361408259,1.19024997250928e-58,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN7",0.0044643360737334,6.43421071758692e-87,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN8",0.00509818947892057,1.3257935434127e-111,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN9",0.00528167405474842,9.05959688886992e-118,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN10",0.00557551588683077,1.35085005365333e-122,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN11",0.00623765899550728,1.76627973557336e-143,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN12",0.00645032612866374,7.1154280037258e-141,0.00740397573345941,1890645,"ALL","2011-2015"
6,"MONTH.AGE.BEGIN13",0.00639138452087451,5.04140958752912e-130,0.00740397573345941,1890645,"ALL","2011-2015"
