"State","YEAR","Zip3","AvgIncome"
"CA",2014,"934xx",129531
"CA",2014,"935xx",155577
"CA",2014,"936xx",103400
"CA",2014,"937xx",158271
"CA",2014,"939xx",140622
"CA",2014,"940xx",629755
"CA",2014,"941xx",452739
"CA",2014,"943xx",1185868
"CA",2014,"944xx",447470
"CA",2014,"945xx",337964
"CA",2014,"946xx",222593
"CA",2014,"947xx",148319
"CA",2014,"948xx",150645
"CA",2014,"949xx",293442
"CA",2014,"950xx",428071
"CA",2014,"951xx",291875
"CA",2014,"952xx",113072
"CA",2014,"953xx",109681
"CA",2014,"954xx",119681
"CA",2014,"955xx",47311
"CA",2014,"956xx",187411
"CA",2014,"957xx",294058
"CA",2014,"958xx",140897
"CA",2014,"959xx",79743
"CA",2014,"960xx",70481
"CA",2014,"961xx",38675
"CA",2015,"900xx",248946
"CA",2015,"902xx",359341
"CA",2015,"903xx",101208
"CA",2015,"904xx",323774
"CA",2015,"905xx",199384
"CA",2015,"906xx",199561
"CA",2015,"907xx",176262
"CA",2015,"908xx",207767
"CA",2015,"910xx",199132
"CA",2015,"911xx",204110
"CA",2015,"912xx",115661
"CA",2015,"913xx",238321
"CA",2015,"914xx",258105
"CA",2015,"915xx",122819
"CA",2015,"916xx",175868
"CA",2015,"917xx",191281
"CA",2015,"918xx",158015
"CA",2015,"919xx",197576
"CA",2015,"920xx",241704
"CA",2015,"921xx",274382
"CA",2015,"922xx",121977
"CA",2015,"923xx",174731
"CA",2015,"924xx",135973
"CA",2015,"925xx",177625
"CA",2015,"926xx",334388
"CA",2015,"927xx",240790
"CA",2015,"928xx",203253
"CA",2015,"930xx",216576
"CA",2015,"931xx",155676
"CA",2015,"932xx",119194
"CA",2015,"933xx",203192
"CA",2015,"934xx",129531
"CA",2015,"935xx",155577
"CA",2015,"936xx",103400
"CA",2015,"937xx",158271
"CA",2015,"939xx",140622
"CA",2015,"940xx",629755
"CA",2015,"941xx",452739
"CA",2015,"943xx",1185868
"CA",2015,"944xx",447470
"CA",2015,"945xx",337964
"CA",2015,"946xx",222593
"CA",2015,"947xx",148319
"CA",2015,"948xx",150645
"CA",2015,"949xx",293442
"CA",2015,"950xx",428071
"CA",2015,"951xx",291875
"CA",2015,"952xx",113072
"CA",2015,"953xx",109681
"CA",2015,"954xx",119681
"CA",2015,"955xx",47311
"CA",2015,"956xx",187411
"CA",2015,"957xx",294058
"CA",2015,"958xx",140897
"CA",2015,"959xx",79743
"CA",2015,"960xx",70481
"CA",2015,"961xx",38675
"CA",2016,"900xx",248946
"CA",2016,"902xx",359341
"CA",2016,"903xx",101208
"CA",2016,"904xx",323774
"CA",2016,"905xx",199384
"CA",2016,"906xx",199561
"CA",2016,"907xx",176262
"CA",2016,"908xx",207767
"CA",2016,"910xx",199132
"CA",2016,"911xx",204110
"CA",2016,"912xx",115661
"CA",2016,"913xx",238321
"CA",2016,"914xx",258105
"CA",2016,"915xx",122819
"CA",2016,"916xx",175868
"CA",2016,"917xx",191281
"CA",2016,"918xx",158015
"CA",2016,"919xx",197576
"CA",2016,"920xx",241704
"CA",2016,"921xx",274382
"CA",2016,"922xx",121977
"CA",2016,"923xx",174731
"CA",2016,"924xx",135973
"CA",2016,"925xx",177625
"CA",2016,"926xx",334388
"CA",2016,"927xx",240790
"CA",2016,"928xx",203253
"CA",2016,"930xx",216576
"CA",2016,"931xx",155676
"CA",2016,"932xx",119194
"CA",2016,"933xx",203192
"CA",2016,"934xx",129531
"CA",2016,"935xx",155577
"CA",2016,"936xx",103400
"CA",2016,"937xx",158271
"CA",2016,"939xx",140622
"CA",2016,"940xx",629755
"CA",2016,"941xx",452739
"CA",2016,"943xx",1185868
"CA",2016,"944xx",447470
"CA",2016,"945xx",337964
"CA",2016,"946xx",222593
"CA",2016,"947xx",148319
"CA",2016,"948xx",150645
"CA",2016,"949xx",293442
"CA",2016,"950xx",428071
"CA",2016,"951xx",291875
"CA",2016,"952xx",113072
"CA",2016,"953xx",109681
"CA",2016,"954xx",119681
"CA",2016,"955xx",47311
"CA",2016,"956xx",187411
"CA",2016,"957xx",294058
"CA",2016,"958xx",140897
"CA",2016,"959xx",79743
"CA",2016,"960xx",70481
"CA",2016,"961xx",38675
"CO",2011,"800xx",183688
"CO",2011,"801xx",215168
"CO",2011,"802xx",135447
"CO",2011,"803xx",133546
"CO",2011,"804xx",110252
"CO",2011,"805xx",141746
"CO",2011,"806xx",114411
"CO",2011,"807xx",30888
"CO",2011,"808xx",52944
"CO",2011,"809xx",119004
"CO",2011,"810xx",61509
"CO",2011,"811xx",25752
"CO",2011,"812xx",39607
"CO",2011,"813xx",63439
"CO",2011,"814xx",35829
"CO",2011,"815xx",63044
"CO",2011,"816xx",38495
"CO",2012,"800xx",193130
"CO",2012,"801xx",237345
"CO",2012,"802xx",144223
"CO",2012,"803xx",158214
"CO",2012,"804xx",122314
"CO",2012,"805xx",151111
"CO",2012,"806xx",120131
"CO",2012,"807xx",31435
"CO",2012,"808xx",56626
"CO",2012,"809xx",122853
"CO",2012,"810xx",62104
"CO",2012,"811xx",26354
"CO",2012,"812xx",39845
"CO",2012,"813xx",69040
"CO",2012,"814xx",36710
"CO",2012,"815xx",64000
"CO",2012,"816xx",44282
"CO",2013,"800xx",201614
"CO",2013,"801xx",243455
"CO",2013,"802xx",149362
"CO",2013,"803xx",162214
"CO",2013,"804xx",121914
"CO",2013,"805xx",159333
"CO",2013,"806xx",128267
"CO",2013,"807xx",32382
"CO",2013,"808xx",59607
"CO",2013,"809xx",125917
"CO",2013,"810xx",63663
"CO",2013,"811xx",26754
"CO",2013,"812xx",40463
"CO",2013,"813xx",70187
"CO",2013,"814xx",37005
"CO",2013,"815xx",64174
"CO",2013,"816xx",42118
"CO",2014,"800xx",215078
"CO",2014,"801xx",268810
"CO",2014,"802xx",162172
