"","addr_state","grade","year(issue_d)","sum(loan_amnt)","sum(total_pymnt)","mean(int_rate)","mean(UNEMP_RATE_ISSUE_DT)","mean(AGE)","mean(fico_range_low)"
"520","GA","D",2011,437950,512815.128671649,16.15325,9.995,NA,677.125
"521","GA","D",2012,1966600,2175027.361956,18.3213793103448,8.89862068965517,735.641379310345,669.931034482759
"522","GA","D",2013,4445200,5114375.946116,18.6239906103286,7.98075117370892,NA,680.152582159624
"523","GA","D",2014,7663850,7959915.49939572,17.0643550834598,6.99393019726859,653.455235204856,678.376327769348
"524","GA","D",2015,14025200,10936388.826863,16.6614727272727,5.85081818181818,NA,680.795454545455
"525","GA","E",2008,53500,51214.441572319,15.015,6.825,904.5,666.25
"526","GA","E",2009,82200,100975.364916078,16.488,10.36,718.2,687
"527","GA","E",2010,155725,145977.322891947,16.7663636363636,10.3636363636364,705.636363636364,681.363636363636
"528","GA","E",2011,58250,74745.3595012763,18.405,9.875,791.75,672.5
"529","GA","E",2012,321250,392244.70249,20.8,8.98,801.133333333333,673
"530","GA","E",2013,998100,1146701.80503,21.653,7.879,727.41,676.7
"531","GA","E",2014,2602725,2663819.86029856,20.2326808510638,6.95021276595745,633.004255319149,676.297872340426
"532","GA","E",2015,4143000,3157721.21682345,19.1904179104478,5.86029850746269,475.477611940299,678.313432835821
"533","GA","F",2007,6500,4056.67,15.01,4.7,550,675
"534","GA","F",2008,25000,8988.1828767977,17.03,5.8,1095,660
"535","GA","F",2010,19000,15373.31,19.04,10.3,701,660
"536","GA","F",2011,70500,89578.6863068803,19.1025,10.275,859.75,666.25
"537","GA","F",2012,80000,80584.799591,22.7842857142857,8.97142857142857,NA,674.285714285714
"538","GA","F",2013,246600,286022.819919,24.1968421052632,7.73157894736842,749.736842105263,675.263157894737
"539","GA","F",2014,584225,648092.000461893,24.0727868852459,7.1,616.245901639344,677.213114754098
"540","GA","F",2015,613675,442307.851852689,23.6824561403509,5.79649122807017,NA,678.070175438596
"541","GA","G",2009,17000,16383.9728715717,19,10.2,609,685
"542","GA","G",2010,10000,1887.35,21.14,10.5,151,675
"543","GA","G",2011,6200,3061.11,21.59,10.3,394,660
"544","GA","G",2012,43275,55601.86496,24.83,8.8,639.5,667.5
"545","GA","G",2014,31975,34802.3,25.8075,6.95,760.25,672.5
"546","GA","G",2015,91000,82936.4700011423,26.6563636363636,5.91818181818182,475.272727272727,668.181818181818
"547","HI","A",2008,8075,8585.0561137545,8.035,3.45,440.5,752.5
"548","HI","A",2009,34825,36559.732483561,8.99,6.94,644.4,759
"549","HI","A",2010,36600,37330.8352047081,6.426,6.9,919.2,760
"550","HI","A",2011,211325,225414.044691158,7.14619047619048,6.8047619047619,800.380952380952,748.333333333333
"551","HI","A",2012,583650,640395.435833,8.01333333333333,5.87450980392157,770.470588235294,734.313725490196
"552","HI","A",2013,1107325,1183984.991232,7.84097222222222,4.83333333333333,658.361111111111,722.708333333333
"553","HI","A",2014,2050125,2078502.29754352,7.49825174825175,4.33916083916084,655.076923076923,721.468531468532
"554","HI","A",2015,4196475,3112866.86426772,6.97887719298246,3.56035087719298,526.968421052632,717.684210526316
"555","HI","B",2008,30500,26850.2519497131,10.92,5.725,669,720
"556","HI","B",2009,39000,46482.2136293568,11.7275,7.275,913.75,720
"557","HI","B",2010,80800,85910.2574607553,10.4933333333333,6.95,756.333333333333,729.166666666667
"558","HI","B",2011,210275,231433.014073636,10.5527272727273,6.78636363636364,896.909090909091,706.590909090909
"559","HI","B",2012,1080450,1192837.616922,12.5388659793814,5.77113402061856,806.649484536082,692.938144329897
"560","HI","B",2013,2991250,3340274.078479,11.9759915611814,4.85400843881856,747.64135021097,689.915611814346
"561","HI","B",2014,3522600,3623050.70280033,11.1252189781022,4.35875912408759,688.113138686131,687.591240875912
"562","HI","B",2015,5983150,4711776.99144146,10.0284367816092,3.55793103448276,520.241379310345,690.804597701149
"563","HI","C",2008,6925,7430.8557416248,11.975,3.85,487,667.5
"564","HI","C",2009,52000,56038.3020077835,13.2175,7.225,670,696.25
"565","HI","C",2010,61300,62613.7009345464,13.805,6.975,848.625,682.5
"566","HI","C",2011,139800,165506.622804944,14.1492307692308,6.80769230769231,824.384615384615,689.615384615385
"567","HI","C",2012,803875,886733.245776,15.3992753623188,5.71449275362319,785.985507246377,678.840579710145
"568","HI","C",2013,1949950,2120041.540625,15.4977272727273,4.8474025974026,NA,682.337662337662
"569","HI","C",2014,2479150,2612441.27641061,14.0696984924623,4.3321608040201,701.276381909548,679.371859296482
"570","HI","C",2015,4863400,3762543.78111188,13.230099009901,3.56039603960396,494.259900990099,682.524752475248
"571","HI","D",2009,20000,24509.4445260086,14.56,7.13333333333333,1116.66666666667,693.333333333333
"572","HI","D",2010,41000,50652.2014913779,14.99,6.9,974.5,686.25
"573","HI","D",2011,126800,146972.594413349,15.8314285714286,6.77142857142857,705.142857142857,675.357142857143
"574","HI","D",2012,5e+05,552108.082182,18.3645714285714,5.68285714285714,NA,670.571428571429
"575","HI","D",2013,1187725,1357021.572977,18.6858333333333,4.85,704.59375,675.520833333333
"576","HI","D",2014,1637200,1716543.39907089,17.1263503649635,4.32919708029197,602.029197080292,678.029197080292
"577","HI","D",2015,2682450,2002220.65085368,16.541256281407,3.58693467336683,NA,678.668341708543
"578","HI","E",2009,11000,10435.5599999999,15.68,7.2,760,660
"579","HI","E",2010,21500,27134.4901601236,16.45,7.05,853,665
"580","HI","E",2011,5000,6598.7700000014,19.03,6.8,1065,665
"581","HI","E",2012,195000,237791.7507,21.1044444444444,5.74444444444444,801.111111111111,680.555555555556
"582","HI","E",2013,284650,307702.208125,21.4964,4.832,712.16,675.6
"583","HI","E",2014,505225,432340.328871483,20.2419047619048,4.28333333333333,586.761904761905,677.5
"584","HI","E",2015,933775,749422.262581627,19.055,3.59393939393939,435.69696969697,679.545454545455
"585","HI","F",2012,70000,51768.79127,23.455,5.55,91.5,662.5
